Back to Contents,Data 1: Total Underground Storage,,,,,
Sourcekey,N5030US2,N5010US2,N5020US2,N5070US2,N5050US2,N5060US2
Date,U.S. Natural Gas Underground Storage Volume (MMcf),U.S. Total Natural Gas in Underground Storage (Base Gas) (MMcf),U.S. Total Natural Gas in Underground Storage (Working Gas) (MMcf),U.S. Natural Gas Underground Storage Net Withdrawals (MMcf),U.S. Total Natural Gas Injections into Underground Storage (MMcf),U.S. Natural  Gas Underground Storage Withdrawals (MMcf)
Jun-2018,6549065,4353838,2195227,-348552,436179,87627
Jul-2018,6735506,4354236,2381269,-186378,361544,175166
Aug-2018,6971846,4355005,2616841,-235365,407139,171775
Sep-2018,7306139,4355771,2950368,-334064,463813,129749
Oct-2018,7592871,4356617,3236255,-290522,421566,131043
Nov-2018,7386391,4356312,3030079,204881,213135,418016
Dec-2018,7068849,4360531,2708318,320339,190513,510852
Jan-2019,6360109,4366112,1993997,708614,95142,803756
Feb-2019,5792097,4365887,1426210,568145,104352,672497
Mar-2019,5545463,4360572,1184891,245243,189689,434932
Apr-2019,5926851,4367449,1559402,-382067,485598,103531
May-2019,6403000,4371969,2031031,-471898,556916,85019
Jun-2019,6835476,4374728,2460748,-431260,523071,91812
Jul-2019,7088570,4374373,2714197,-254094,415594,161500
Aug-2019,7374445,4376635,2997810,-285647,453252,167605
Sep-2019,7793013,4378074,3414939,-419150,528510,109361
Oct-2019,8140781,4378738,3762043,-345754,461419,115665
Nov-2019,7990012,4379982,3610029,149678,201178,350856
Dec-2019,7567872,4379628,3188243,418470,137798,556268
Jan-2020,6996576,4380400,2616176,570627,94440,665067
Feb-2020,6460075,4379192,2080883,535513,98895,634408
Mar-2020,6408672,4379312,2029360,49153,236339,285492
Apr-2020,6716451,4383957,2332493,-306179,436762,130583
May-2020,7164234,4386649,2777585,-448006,521993,73987
Jun-2020,7522519,4389423,3133096,-357949,442802,84854
Jul-2020,7683812,4390263,3293550,-161165,312200,151035
Aug-2020,7911918,4389701,3522216,-227495,401382,173887
Sep-2020,8228769,4388932,3839836,-323420,449590,126170
Oct-2020,8321354,4392850,3928504,-92406,283120,190714
Nov-2020,8325457,4393841,3931616,-3807,218129,214323
Dec-2020,7735441,4394460,3340981,587247,94139,681386
Jan-2021,7029355,4394388,2634968,707069,75824,782893
Feb-2021,6247914,4388696,1859218,781503,122356,903859
Mar-2021,6188885,4387660,1801225,59018,262155,321173
Apr-2021,6354456,4379423,1975034,-174319,347372,173053
May-2021,6771262,4381370,2389892,-416126,491679,75553
Jun-2021,7019066,4433940,2585126,-248102,387667,139565
Jul-2021,7188708,4433994,2754715,-169799,340972,171173
Aug-2021,7352117,4434849,2917268,-159265,345761,186495
Sep-2021,7742741,4436759,3305982,-390590,473433,82843
Oct-2021,8103211,4437826,3665385,-360804,451789,90985
Nov-2021,7971480,4438705,3532776,131953,188673,320626
Dec-2021,7647859,4437876,3209983,322647,190253,512900
Jan-2022,6653298,4437357,2215941,993756,75578,1069334
Feb-2022,5996508,4434489,1562019,658478,102251,760728
Mar-2022,5835467,4434002,1401466,163384,231081,394465
Apr-2022,6051522,4439756,1611766,-213755,354148,140392
May-2022,6443525,4441610,2001916,-403136,484564,81429
Jun-2022,6767938,4442616,2325322,-323613,437806,114193
Jul-2022,6949518,4444395,2505123,-180038,361690,181652
Aug-2022,7155194,4445772,2709422,-206224,382468,176244
Sep-2022,7590490,4444846,3145644,-435970,536066,100095
Oct-2022,8012493,4443108,3569385,-422224,510890,88666
Nov-2022,7943489,4442439,3501050,71752,261146,332898
Dec-2022,7376032,4450651,2925381,574409,160129,734538
Jan-2023,6921540,4451525,2470015,455630,153147,608777
Feb-2023,6522873,4450689,2072184,399179,130231,529410
Mar-2023,6299730,4449834,1849895,223658,170956,394613
Apr-2023,6568637,4452175,2116462,-268605,394981,126376
May-2023,7022119,4465638,2556481,-452208,533975,81767
Jun-2023,7365395,4463734,2901662,-343529,448254,104724
Jul-2023,7500112,4464915,3035197,-133525,319584,186058
Aug-2023,7631692,4463745,3167947,-132850,365360,232510
Sep-2023,7952495,4462663,3489832,-322862,478084,155222
Oct-2023,8272556,4463174,3809382,-321344,441936,120592
Nov-2023,8206286,4464040,3742245,64986,233132,298118
Dec-2023,7925423,4467942,3457481,283872,170376,454249
Jan-2024,7079004,4467640,2611364,844369,106471,950840
Feb-2024,6817491,4467813,2349679,262715,194882,457597
Mar-2024,6772922,4466868,2306055,46062,273544,319605
Apr-2024,7029542,4467095,2562447,-256014,411120,155106
May-2024,7392574,4469399,2923175,-362533,474619,112086
Jun-2024,7646136,4471178,3174958,-253559,381644,128085
Jul-2024,7766078,4472500,3293578,-119518,296151,176633
Aug-2024,7847536,4477316,3370220,-78624,322455,243831
